훈련기관명,훈련직종,훈련구분,훈련횟수,개시일,종료일,인원,훈련기관 주소,훈련기관 전화번호
여천직업전문학교,건축배관,주간,3,2026-08-10,2026-11-18,15,전라남도 여수시 대통로3 4층,061-691-8701
수원건설기술교육학원,마루,주간,2,2026-04-01,2026-12-31,14,수원시 팔달구 정조로788번길18 3층,031-251-7004
전북용접전문학원,특수용접,주간,2,2026-05-21,2026-12-30,20,전북 군산시 소룡안1길 50,063-471-9972
세종직업전문학원,특수용접,주간,3,2026-05-01,2026-12-31,20,전남 순천시 도서관길 5,061-723-2233
이상인배관용접학원,특수용접,주간,3,2026-04-20,2026-09-10,10,"울산광역시 울주군 온산읍 내동 1길 26 1층,2층",052-700-1008
관인미솔꽃조경학원,조경,주간,2,2026-08-03,2026-12-29,20,"인천시 서구 염곡로 464번길 15 705,708,709호",032-545-5655
전주건축학원,타일,주간,3,2026-04-01,2026-11-30,14,전북특별자치도 전주시 덕진구 지행당길 177,063-222-2522
희망직업전문학교,타일,주간,2,2026-05-27,2026-07-27,20,광주광역시 북구 서하로 306,062-262-2347
경남산업직업전문학교,타일,주간,3,2026-08-26,2026-09-23,20,경남 창원시 마산합포구 동서북9길 16,055-223-4569
㈜대신기술능력개발원,타일,주간,3,2026-05-11,2026-08-05,20,강동구 양재대로 1377 삼원빌딩 3층,02-471-5555
대전세종건설기능훈련학원,형틀목공,주말주간,2,2026-05-16,2026-10-24,10,대전 대덕구 중리동 381-21,042-631-0774
경기건설기능교육원,형틀목공,주간,3,2026-06-01,2026-12-31,14,성남시 중원구 둔촌대로  345-7,031-626-5112
경기중서부건설기능학교,형틀목공,주간,3,2026-07-06,2026-12-31,10,경기도 안산시 단원구 동산로 216,031-495-9192
(재)한국능력개발원 호남직업전문학교,복합직종(실생활공간구성),주간,1,2026-06-10,2026-12-31,15,광주광역시 동구 무등로 339,062-605-8000
부산포시드직업전문학교,복합직종(실생활공간구성),주간,2,2026-08-03,2026-11-27,30,부산시 부산진구 중앙대로 917(양정동),051-853-1555
국제기술교육원,복합직종(실생활공간구성),주간,2,2026-06-11,2026-12-31,30,경기도 광주시 순암로 492번길 18,031-756-7880
그린직업전문학교㈜,복합직종(실생활공간구성),주간,2,2026-06-17,2026-11-19,30,경기도 광주시 염소골길28-11,031-797-5004
(재)대구직업전문학교,일반용접,주간,2,2026-03-02,2026-12-31,20,대구 북구 칠성남로 167,053-350-1000
(재)이찬 경북직업전문학교,건축목공+형틀목공,주간,4,2026-06-08,2026-12-31,15,경북 포항시 북구 죽도로 20번길 28,054-272-2828
(재)한국능력개발원 호남직업전문학교,방수,주간,4,2026-03-12,2026-12-11,20,광주광역시 동구 무등로 339,062-605-8000
강원인재개발원,방수,주간,4,2026-03-25,2026-07-31,15,강원도 춘천시 춘천로 209,033-242-3331
거송직업전문학교,일반용접,야간,4,2026-03-03,2026-11-11,20,전남 여수시 화산로 50,061-685-8089
거송직업전문학교,일반용접,주간,3,2026-04-22,2026-07-21,10,전남 여수시 화산로 50,061-685-8089
경기건설기능교육원,형틀목공,주간,4,2026-03-09,2026-06-30,14,경기 성남시 중원구 둔촌대로  345-7,031-626-5112
경기평생기술학원,건축목공,주간,2,2026-06-08,2026-09-30,20,경기도 수원시 팔달구 갓매산로 91,061-253-7336
경남산업직업전문학교,도장+방수,야간,3,2026-05-11,2026-11-05,20,경남 창원시 마산합포구 동서북9길 16,055-223-4569
경남산업직업전문학교,도장+방수,주간,3,2026-08-31,2026-12-04,20,경남 창원시 마산합포구 동서북9길 16,055-223-4569
관인미솔꽃조경학원,조경,주간,2,2026-07-01,2026-11-27,20,인천시 서구 염곡로 464번길 15,032-545-5655
국제기술교육원,건축목공,주간,4,2026-03-01,2026-12-31,20,경기도 광주시 순암로 492번길 18,031-756-7880
국제기술교육원,도장+방수,주간,4,2026-04-01,2026-11-30,20,경기도 광주시 순암로 492번길 18,031-756-7880
그린직업전문학교,도장+방수,주간,4,2026-03-19,2026-07-28,20,경기 광주시 광남안로 277-1,031-797-5004
그린직업전문학교,조경,주간,4,2026-03-30,2026-07-31,20,경기 광주시 광남안로 277-1,031-797-5004
다온기술학원,도장+방수,주간,2,2026-04-09,2026-07-03,20,경북 구미시 송원동로 59,054-716-0540
대산직업전문학교,조경,주간,4,2026-03-15,2026-10-31,20,부산 연제구 거제대로252번길 20,051-867-0770
대전세종목공기술학원,건축목공,야간,4,2026-03-01,2026-12-31,20,세종특별자치시 장군면 봉안산소골길3,044-864-2201
대한직업전문학교,일반용접+건축배관,야간,4,2026-04-06,2026-12-28,20,대구시 달서구 월배로 424,053-655-0177
동일건축인테리어학원,건축목공,야간,3,2026-04-06,2026-11-19,20,대전시 유성구 현충원로 351,042-825-3310
미래직업전문학교,보일러,주간,1,2026-03-03,2026-06-29,20,부산시 동구 중앙대로 286번길 13,051-463-0003
부산포시드직업전문학교,도장+방수,주간,4,2026-03-01,2026-06-30,20,부산시 부산진구 중앙대로 917,051-853-1555
부산포시드직업전문학교,마루,주간,4,2026-03-01,2026-06-30,20,부산시 부산진구 중앙대로 917,051-853-1555
상백직업전문학교,건축목공+형틀목공,주간,4,2026-03-01,2026-07-30,13,대구시 달서구 계대동문로 106번지 4,053-721-7868
수원건설기술교육학원,마루+건축목공,주간,3,2026-02-28,2026-12-31,16,수원시 팔달구 정조로788번길 18,031-251-7004
안산건설기능학교,형틀목공,주간,4,2026-02-23,2026-06-18,15,경기도 안산시 단원구 동산로 216,031-495-9192
