연번,직종명,시행여부,퇴직공제 신고직종
1,토공,시행,"토공,양수공,우물공,적층공,토류판공,골재쇄석공,디워터링공,락볼팅공,모래분사공,몰탈스프래이공,물다짐흙쌓기공,흙막이공,착암공"
2,포장,시행,"포장공,아스팔트포장공,아스팔트타이트공,포설공"
3,궤도,시행,"궤도공,전차선공"
4,보링,시행,"보링공,그라우팅공,갱부"
5,준설,시행,"준설선선장,선장,준설선기관사,기관장,기관선원,준설선운전사,갑판선원,기중기선원,인양공,준설선공,항타선원,선원,해상공"
6,측량,미시행,"측량공,지적기사,지적산업기사,지적기능사"
7,형틀목공,시행,"형틀목공,동발공"
8,건축목공,시행,"건축목공,인조목공,목공,내장목공,조선목공,인테리어공,로구로공,내장공,합판공,제재공,가구공,가구목공"
9,조적,시행,"조적공,벽돌(블록)공,벽돌(블록)제작공,사춤공,치장벽돌공,내화벽돌공,줄눈공"
10,미장,시행,미장공
11,건출,시행,"견출공,경량기포공"
12,방수,시행,"방수공,액체방수공,아스팔트방수공"
13,코킹,시행,코킹공
14,타일,시행,"타일공,아스타일공"
15,석공,시행,"석공,할석공,인조석공,대리석공,연돌공,연마공,바닥공"
16,도장,시행,"도장공,플랜트도장공,스프레이도장공,벽체뿜칠공,콘도라공,도색공,차선도색공,라인마킹공,계령공"
17,철근,시행,"철근공,절단공"
18,콘크리트,시행,"콘크리트공,P.C설치공,P.C제작공,P.S공,데크공,바이브래타공,발포콘크리트공,성형공,양생공,흄관공,노즐공"
19,창호,시행,"창호공,창호목공,창틀공,샷시공,커튼공,커튼월공"
20,비계,시행,"비계공,플렌트비계공,가시설공,가시설철골공,잡철공,시스템서포트공"
21,패널조립,시행,판넬조립공
22,도배,시행,도배공
23,유리,시행,유리공
24,수장,시행,"마루판공,장판공,카페트공,수장공"
25,보온,시행,보온공
26,플랜트보온,시행,플랜트보온공
27,지붕,시행,"지붕잇기공,루핑공,기와공,천장공,슬레이트공"
28,철거,시행,"석면해체공,철거공"
29,강구조,시행,"철골공,철골제작공,철골설치공,경량철골공,철공,철물절단공,모형절단공,금속쇠톱공,철판공,강판공,함석공,마킹공,가위절단공,초음파절단공,대장공,열처리공,판금공,프레스공,구조물공,리벳공,제철축로공"
30,건축기계설비,시행,"설비공,위생공,부대공,방화공"
31,건축배관,시행,"배관공,쇼트공"
32,보일러,시행,보일러공
33,상하수도배관,시행,"배관공(수도),우오수공"
34,플랜트기계설비,시행,"플랜트기계설치공,플랜트공,플랜트특별인부,원자력품질관리사,원자력기계설치공,발전기공"
35,플랜트전기설비,시행,"플랜트전공,원자력플랜트전공,플랜트케이블전공"
36,플랜트계측설비,시행,"계측공,플랜트계장공,시운전공,플랜트시운전공,계장공"
37,플랜트배관,시행,플랜트배관공
38,조경,시행,조경공
39,벌목,시행,"벌목공,조림공"
40,건설기계,미시행,"도우저(운전원),굴삭기(운전원),굴착기(운전원),로우더(운전원),지게차(운전원),포크리트(운전원),스크레이퍼(운전원),덤프트럭(운전원),크레인(운전원),그레이더(운전원),롤러(운전원),아스팔트피니셔(운전원),아스팔트플랜트(운전원),항타공,타워크레인(운전원),건설기계조장,건설기계운전원,중장비정비공,파일공,드릴링공"
41,일반기계,미시행,"일반기계운전원,로드헤다공,쉴드머신(운전원),스테이빌라이저(운전원),콤퓨레샤(운전원),화물차(운전원),트레일러(운전원)"
42,잠수,시행,"잠수공,잠함공"
43,문화재시공,미시행,"도편수,드잡이공,드잡이공편수,도목수,한식목공,한식목공조공,목조각공,석조각공,한식석공,한식석공조공,미술사,특수화공,화공,한식미장공,한식미장공편수,한식미장공조공,한식와공편수,한식와공,한식와공조공,한식단청공편수"
44,일반기계설비,시행,"기계설치공,기계계장공,엘리베이터공,호이스트운전원,엘리베이터기계공,엘리베이터전공,엘리베이터조정공,냉동수리공"
45,제관,시행,제관공
46,플랜트제관,시행,플랜트제관공
47,덕트,시행,덕트공
48,플랜트덕트,시행,플랜트덕트공
49,일반용접,시행,"용접공,전기용접공"
50,특수용접,시행,가스용접공
51,플랜트용접,시행,"플랜트용접공,원자력용접공"
52,플랜트특수용접,시행,"송전전공,송전활선전공,변전전공"
53,송변전,미시행,"배전전공,배전활선전공,특고압케이블전공,고압케이블전공,저압케이블전공,케이블공,전선작업공,전주설치공,송배전설비보수원"
54,배전,미시행,"배전전공,배전활선전공,특고압케이블전공,고압케이블전공,저압케이블전공,케이블공,전선작업공,전주설치공,송배전설비보수원"
55,내선전기,미시행,"내선전공,전공,전기공,전기공사기사,전기공사산업기사"
56,외선전기,미시행,외선전공
57,철도신호제어,미시행,철도신호공
58,정보통신,미시행,"통신관련기사,통신관련산업기사,통신관련기능사,통신공,통신내선공,통신설비공,통신안테나공,통신외선공,통신케이블공,무선안테나공,광케이블설치사,광통신설치사"
59,발파,시행,"화약취급공,보안공,발파공"
60,안전관리,미시행,"건설안전공,안전시설공,신호수,공구검사원"
