연번,공사명,총공사금액(억원),공사시작일,공사종료일,업체명,수요기관,소재지주소
1,2025년 잠신중학교 미술실 환경개선 공사,1.12,2026-01-05,2026-02-05,(주)스펙건설,서울특별시강동교육청 잠신중학교,서울특별시 송파구 잠실로 12
2,돈암시장 홍보전광판 구매 설치,1.33,2025-11-28,2026-01-26,사단법인해오름장애인협회이든사,서울특별시 성북구,서울특별시 성북구 동소문로18길 18
3,방학초 본관동 바닥개선 및 내부도장 공사,3.54,2025-12-29,2026-02-06,주식회사 에프엑토리랩,서울특별시교육청 서울특별시북부교육지원청,서울특별시 도봉구 도당로9길 34
4,동대문50플러스센터 인테리어 전기공사,0.88,2025-12-09,2026-02-06,누리절전시스템(주),서울특별시 동대문구,서울특별시 동대문구 외대역동로5길 18 (휘경동)
5,재난·재해 대비 산책로 정비 공사,0.99,2025-11-19,2025-12-16,(주)스페이스엔지니어링,서울특별시 용산구,서울특별시 용산구 대사관로 78
6,"안암초 본관, 서관 및 보안관실 무석면텍스 설치공사",1.79,2026-01-14,2026-02-27,(주)나오스디자인,서울특별시교육청 서울특별시성북강북교육지원청,서울특별시 성북구 고려대로7가길 39
7,상봉중 냉난방개선 전기공사,1.05,2026-01-06,2026-03-01,(주)성진이지에스,서울특별시교육청 서울특별시동부교육지원청,서울특별시 중랑구 상봉중앙로8나길 28 (상봉동)
8,서울연촌초등학교 수영장 환경개선공사 ,1.87,2026-01-13,2026-02-09,극동크리트(주),서울특별시북부교육청 서울연촌초등학교,서울특별시 노원구 공릉로58길 36
9,월계중 본관 바닥개선공사,5.86,2026-01-09,2026-02-22,(주)한양아이디,서울특별시교육청 서울특별시북부교육지원청,서울특별시 노원구 월계로45가길 54
10,"서울천일초 냉난방 개선 및 석면해소 전기공사(장기계속, 1차)",2.53,2025-12-24,2026-02-28,(주)두루통산,서울특별시교육청 서울특별시강동송파교육지원청,서울특별시 강동구 구천면로 266 (천호동)
11,서초고 교사동 자동화재탐지설비개선 소방전기공사,1.15,2026-01-02,2026-02-15,(주)대아티이씨,서울특별시교육청 서울특별시강남서초교육지원청,서울특별시 서초구 반포대로27길 29
12,"서울명덕초 텍스 신설공사(장기계속, 1차)",3.26,2025-12-18,2026-02-25,주바움앤코,서울특별시교육청 서울특별시강동송파교육지원청,서울특별시 강동구 양재대로156길 11
13,"서울응봉초 냉난방개선 및 기타 전기공사(장기계속,1차)",3.08,2026-01-02,2026-03-02,오성이엔씨,서울특별시교육청 서울특별시성동광진교육지원청,서울특별시 성동구 독서당로62길 28
14,본사 7층 리모델링 및 기타공사(전기),1.44,2026-01-19,2026-02-28,선광엘티아이(주),서울교통공사,서울특별시 성동구 천호대로 346
15,서울망우초 본관동 및 정보동 바닥개선공사,3.06,2025-12-26,2026-02-01,(주)빌트에이,서울특별시교육청 서울특별시동부교육지원청,서울특별시 중랑구 망우로72길 49
16,목동사거리지점 전체 레이아웃 설비공사,1.81,2026-01-08,2026-03-14,디케이건설(주),중소기업은행,서울특별시 강서구 등촌로 29
17,용산철도고등학교 우정학사(기숙사) 스프링클러 설치 공사,1.68,2026-01-10,2026-03-06,(주)세영이앤지,서울특별시교육청 용산철도고등학교,서울특별시 용산구 서빙고로 24
18,[긴급]장안중 소음저감시설 설치공사,0.95,2026-01-05,2026-02-27,(주)계양이엔지,서울특별시교육청 서울특별시동부교육지원청,서울특별시 중랑구 동일로 780
19,태릉중 교사동 바닥개선공사,1.41,2026-01-09,2026-02-22,(주)비앤씨오피씨,서울특별시교육청 서울특별시동부교육지원청,서울특별시 중랑구 공릉로2길 60-25
20,학생회관 1층 식당 환경개선 전기공사,1.48,2026-01-07,2026-02-20,유광전기주식회사,서울특별시 서울시립대학교,서울특별시 동대문구 서울시립대로 163
21,연천중 교사동 드라이비트 해소공사,1.06,2026-01-12,2026-02-09,개경건설(주),서울특별시교육청 서울특별시서부교육지원청,서울특별시 은평구 연서로41길 30
22,종합행정타운 힐링정원 조성(실외) 전기설비 공사,1.73,2025-11-17,2026-03-16,주식회사세종전력,서울특별시 용산구,서울특별시 용산구 녹사평대로 150
23,반원초 신관동 바닥개선공사,1.44,2025-12-29,2026-01-25,(주)디자인위멧,서울특별시교육청 서울특별시강남서초교육지원청,서울특별시 서초구 잠원로3길 28
